Model,Output_Length,Block_Size,Latency
gpt3_quant,8K,704,0.0828154723408002
gpt3,8K,704,0.30182563404292784
gpt_neo_quant,8K,768,0.017002314894396617
gpt_neo,8K,768,0.05678114042553272
llama2_quant,8K,768,0.056067523404256844
llama2,8K,768,0.19909154042553345
gpt3_quant,8K,768,0.08290815319186404
gpt3,8K,768,0.3054844595748427
gpt_neo_quant,8K,832,0.016858570213545553
gpt_neo,8K,832,0.06236502127659656
llama2_quant,8K,832,0.061582774468086625
llama2,8K,832,0.20376975319149088
gpt3_quant,8K,832,0.08232398297909807
gpt3,8K,832,0.3024526468088853
gpt_neo_quant,8K,896,0.01694982127737534
gpt_neo,8K,896,0.05712786382978804
llama2_quant,8K,896,0.05652791489361854
llama2,8K,896,0.20631400851063983
gpt3_quant,8K,896,0.08635669787271509
gpt3,8K,896,0.3078846638301619
gpt_neo_quant,8K,960,0.016982553192268955
gpt_neo,8K,960,0.0569380085106391
llama2_quant,8K,960,0.05645157446808663
llama2,8K,960,0.20924828936170364
gpt3_quant,8K,960,0.0877022808514385
gpt3,8K,960,0.31310650212803426
gpt_neo_quant,8K,1K,0.0168323744688647
gpt_neo,8K,1K,0.056800953191490165
llama2_quant,8K,1K,0.05603545531915046
llama2,8K,1K,0.20168619574468236
gpt3_quant,8K,1K,0.08559737872377893
gpt3,8K,1K,0.305652153191864
gpt_neo_quant,8K,1088,0.018218757447588108
gpt_neo,8K,1088,0.05717407659574549
llama2_quant,8K,1088,0.05660042553191641
llama2,8K,1088,0.2040745531914909
gpt3_quant,8K,1088,0.08989480851101296
gpt3,8K,1088,0.3091014127663321
gpt_neo_quant,8K,1152,0.016938995745460445
gpt_neo,8K,1152,0.05721160851063911
llama2_quant,8K,1152,0.0564793021276611
llama2,8K,1152,0.20618583829787387
gpt3_quant,8K,1152,0.09042648510675765
gpt3,8K,1152,0.30688003404292785
gpt_neo_quant,8K,1216,0.01691504680929023
gpt_neo,8K,1216,0.0567216510638306
llama2_quant,8K,1216,0.05595068936170365
llama2,8K,1216,0.19790420425532065
gpt3_quant,8K,1216,0.0898202553195236
gpt3,8K,1216,0.3010190297876087
gpt_neo_quant,8K,1280,0.01833753191567321
gpt_neo,8K,1280,0.05738430638297953
llama2_quant,8K,1280,0.05700791489361854
llama2,8K,1280,0.20494182127659727
gpt3_quant,8K,1280,0.08401521702165127
gpt3,8K,1280,0.3092049702131406
gpt_neo_quant,8K,1344,0.01711245957524768
gpt_neo,8K,1344,0.05736449361702208
llama2_quant,8K,1344,0.05703262978723557
llama2,8K,1344,0.20514980425532067
gpt3_quant,8K,1344,0.08425634042590657
gpt3,8K,1344,0.3097205106386725
gpt_neo_quant,8K,1408,0.018217429788013637
gpt_neo,8K,1408,0.05715758297872421
llama2_quant,8K,1408,0.0568324595744696
llama2,8K,1408,0.20431342978723555
gpt3_quant,8K,1408,0.08395516595782147
gpt3,8K,1408,0.30775271489399164
gpt_neo_quant,8K,1472,0.018411676596524276
gpt_neo,8K,1472,0.0579032170212774
llama2_quant,8K,1472,0.05714880000000152
llama2,8K,1472,0.2060815659574483
gpt3_quant,8K,1472,0.08781533617058743
gpt3,8K,1472,0.3081636765961193
gpt_neo_quant,8K,1536,0.018387165958226405
gpt_neo,8K,1536,0.05730995744680932
